X0: 7 -----------------------------------------------------------
a: 9 -----------------------------------------------------------
c: 11 -----------------------------------------------------------
m: 512 -----------------------------------------------------------
g: 9 -----------------------------------------------------------
k: 2 -----------------------------------------------------------
x1: 74	r1: 0.1448
x226: 197	r226: 0.3855
x227: 248	r227: 0.4853
x228: 195	r228: 0.3816
x229: 230	r229: 0.4501
x230: 33	r230: 0.0646
x231: 308	r231: 0.6027
x232: 223	r232: 0.4364
x233: 482	r233: 0.9432
x234: 253	r234: 0.4951
x235: 240	r235: 0.4697
x236: 123	r236: 0.2407
x237: 94	r237: 0.184
x238: 345	r238: 0.6751
x239: 44	r239: 0.0861
x240: 407	r240: 0.7965
x241: 90	r241: 0.1761
x242: 309	r242: 0.6047
x243: 232	r243: 0.454
x244: 51	r244: 0.0998
x245: 470	r245: 0.9198
x246: 145	r246: 0.2838
x247: 292	r247: 0.5714
x248: 79	r248: 0.1546
x249: 210	r249: 0.411
x250: 365	r250: 0.7143
x251: 224	r251: 0.4384
x252: 491	r252: 0.9609
x253: 334	r253: 0.6536
x254: 457	r254: 0.8943
x255: 28	r255: 0.0548
x256: 263	r256: 0.5147
x257: 330	r257: 0.6458
x258: 421	r258: 0.8239
x259: 216	r259: 0.4227
x260: 419	r260: 0.82
x261: 198	r261: 0.3875
x262: 257	r262: 0.5029
x263: 276	r263: 0.5401
x264: 447	r264: 0.8748
x265: 450	r265: 0.8806
x266: 477	r266: 0.9335
x267: 208	r267: 0.407
x268: 347	r268: 0.6791
x269: 62	r269: 0.1213
x270: 57	r270: 0.1115
x271: 12	r271: 0.0235
x272: 119	r272: 0.2329
x273: 58	r273: 0.1135
x274: 21	r274: 0.0411
x275: 200	r275: 0.3914
x276: 275	r276: 0.5382
x277: 438	r277: 0.8571
x278: 369	r278: 0.7221
x279: 260	r279: 0.5088
x280: 303	r280: 0.593
x281: 178	r281: 0.3483
x282: 77	r282: 0.1507
x283: 192	r283: 0.3757
x284: 203	r284: 0.3973
x285: 302	r285: 0.591
x286: 169	r286: 0.3307
x287: 508	r287: 0.9941
x288: 487	r288: 0.953
x289: 298	r289: 0.5832
x290: 133	r290: 0.2603
x291: 184	r291: 0.3601
x292: 131	r292: 0.2564
x293: 166	r293: 0.3249
x294: 481	r294: 0.9413
x295: 244	r295: 0.4775
x296: 159	r296: 0.3112
x297: 418	r297: 0.818
x298: 189	r298: 0.3699
x299: 176	r299: 0.3444
x300: 59	r300: 0.1155
x301: 30	r301: 0.0587
x302: 281	r302: 0.5499
x303: 492	r303: 0.9628
x304: 343	r304: 0.6712
x305: 26	r305: 0.0509
x306: 245	r306: 0.4795
x307: 168	r307: 0.3288
x308: 499	r308: 0.9765
x309: 406	r309: 0.7945
x310: 81	r310: 0.1585
x311: 228	r311: 0.4462
x312: 15	r312: 0.0294
x313: 146	r313: 0.2857
x314: 301	r314: 0.589
x315: 160	r315: 0.3131
x316: 427	r316: 0.8356
x317: 270	r317: 0.5284
x318: 393	r318: 0.7691
x319: 476	r319: 0.9315
x320: 199	r320: 0.3894
x321: 266	r321: 0.5205
x322: 357	r322: 0.6986
x323: 152	r323: 0.2975
x324: 355	r324: 0.6947
x325: 134	r325: 0.2622
x326: 193	r326: 0.3777
x327: 212	r327: 0.4149
x328: 383	r328: 0.7495
x329: 386	r329: 0.7554
x330: 413	r330: 0.8082
x331: 144	r331: 0.2818
x332: 283	r332: 0.5538
x333: 510	r333: 0.998
x334: 505	r334: 0.9883
x335: 460	r335: 0.9002
x336: 55	r336: 0.1076
x337: 506	r337: 0.9902
x338: 469	r338: 0.9178
x339: 136	r339: 0.2661
x340: 211	r340: 0.4129
x341: 374	r341: 0.7319
x342: 305	r342: 0.5969
x343: 196	r343: 0.3836
x344: 239	r344: 0.4677
x345: 114	r345: 0.2231
x346: 13	r346: 0.0254
x347: 128	r347: 0.2505
x348: 139	r348: 0.272
x349: 238	r349: 0.4658
x350: 105	r350: 0.2055
x351: 444	r351: 0.8689
x352: 423	r352: 0.8278
x353: 234	r353: 0.4579
x354: 69	r354: 0.135
x355: 120	r355: 0.2348
x356: 67	r356: 0.1311
x357: 102	r357: 0.1996
x358: 417	r358: 0.816
x359: 180	r359: 0.3523
x360: 95	r360: 0.1859
x361: 354	r361: 0.6928
x362: 125	r362: 0.2446
x363: 112	r363: 0.2192
x364: 507	r364: 0.9922
x365: 478	r365: 0.9354
x366: 217	r366: 0.4247
x367: 428	r367: 0.8376
x368: 279	r368: 0.546
x369: 474	r369: 0.9276
x370: 181	r370: 0.3542
x371: 104	r371: 0.2035
x372: 435	r372: 0.8513
x373: 342	r373: 0.6693
x374: 17	r374: 0.0333
x375: 164	r375: 0.3209
x376: 463	r376: 0.9061
x377: 82	r377: 0.1605
x378: 237	r378: 0.4638
x379: 96	r379: 0.1879
x380: 363	r380: 0.7104
x381: 206	r381: 0.4031
x382: 329	r382: 0.6438
x383: 412	r383: 0.8063
x384: 135	r384: 0.2642
x385: 202	r385: 0.3953
x386: 293	r386: 0.5734
x387: 88	r387: 0.1722
x388: 291	r388: 0.5695
x389: 70	r389: 0.137
x390: 129	r390: 0.2524
x391: 148	r391: 0.2896
x392: 319	r392: 0.6243
x393: 322	r393: 0.6301
x394: 349	r394: 0.683
x395: 80	r395: 0.1566
x396: 219	r396: 0.4286
x397: 446	r397: 0.8728
x398: 441	r398: 0.863
x399: 396	r399: 0.775
x400: 503	r400: 0.9843
x401: 442	r401: 0.865
x402: 405	r402: 0.7926
x403: 72	r403: 0.1409
x404: 147	r404: 0.2877
x405: 310	r405: 0.6067
x406: 241	r406: 0.4716
x407: 132	r407: 0.2583
x408: 175	r408: 0.3425
x409: 50	r409: 0.0978
x410: 461	r410: 0.9022
x411: 64	r411: 0.1252
x412: 75	r412: 0.1468
x413: 174	r413: 0.3405
x414: 41	r414: 0.0802
x415: 380	r415: 0.7436
x416: 359	r416: 0.7025
x417: 170	r417: 0.3327
x418: 5	r418: 0.0098
x419: 56	r419: 0.1096
x420: 3	r420: 0.0059
x421: 38	r421: 0.0744
x422: 353	r422: 0.6908
x423: 116	r423: 0.227
x424: 31	r424: 0.0607
x425: 290	r425: 0.5675
x426: 61	r426: 0.1194
x427: 48	r427: 0.0939
x428: 443	r428: 0.8669
x429: 414	r429: 0.8102
x430: 153	r430: 0.2994
x431: 364	r431: 0.7123
x432: 215	r432: 0.4207
x433: 410	r433: 0.8023
x434: 117	r434: 0.229
x435: 40	r435: 0.0783
x436: 371	r436: 0.726
x437: 278	r437: 0.544
x438: 465	r438: 0.91
x439: 100	r439: 0.1957
x440: 399	r440: 0.7808
x441: 18	r441: 0.0352
x442: 173	r442: 0.3386
x443: 32	r443: 0.0626
x444: 299	r444: 0.5851
x445: 142	r445: 0.2779
x446: 265	r446: 0.5186
x447: 348	r447: 0.681
x448: 71	r448: 0.1389
x449: 138	r449: 0.2701
x450: 229	r450: 0.4481
x451: 24	r451: 0.047
x452: 227	r452: 0.4442
x453: 6	r453: 0.0117
x454: 65	r454: 0.1272
x455: 84	r455: 0.1644
x456: 255	r456: 0.499
x457: 258	r457: 0.5049
x458: 285	r458: 0.5577
x459: 16	r459: 0.0313
x460: 155	r460: 0.3033
x461: 382	r461: 0.7476
x462: 377	r462: 0.7378
x463: 332	r463: 0.6497
x464: 439	r464: 0.8591
x465: 378	r465: 0.7397
x466: 341	r466: 0.6673
x467: 8	r467: 0.0157
x468: 83	r468: 0.1624
x469: 246	r469: 0.4814
x470: 177	r470: 0.3464
x471: 68	r471: 0.1331
x472: 111	r472: 0.2172
x473: 498	r473: 0.9746
x474: 397	r474: 0.7769
x475: 0	r475: 0.0
x476: 11	r476: 0.0215
x477: 110	r477: 0.2153
x478: 489	r478: 0.9569
x479: 316	r479: 0.6184
x480: 295	r480: 0.5773
x481: 106	r481: 0.2074
x482: 453	r482: 0.8865
x483: 504	r483: 0.9863
x484: 451	r484: 0.8826
x485: 486	r485: 0.9511
x486: 289	r486: 0.5656
x487: 52	r487: 0.1018
x488: 479	r488: 0.9374
x489: 226	r489: 0.4423
x490: 509	r490: 0.9961
x491: 496	r491: 0.9706
x492: 379	r492: 0.7417
x493: 350	r493: 0.6849
x494: 89	r494: 0.1742
x495: 300	r495: 0.5871
x496: 151	r496: 0.2955
x497: 346	r497: 0.6771
x498: 53	r498: 0.1037
x499: 488	r499: 0.955
x500: 307	r500: 0.6008
x501: 214	r501: 0.4188
x502: 401	r502: 0.7847
x503: 36	r503: 0.0705
x504: 335	r504: 0.6556
x505: 466	r505: 0.9119
x506: 109	r506: 0.2133
x507: 480	r507: 0.9393
x508: 235	r508: 0.4599
x509: 78	r509: 0.1526
x510: 201	r510: 0.3933
x511: 284	r511: 0.5558
x512: 7	r512: 0.0137
